,ID,Dept,Gender,Clin,Cert,Prate,Exper,Rank,Sal94,Sal95,dept_labels,Exper_bins,Prate_bins
0,1,1,1,0,0,7.4,9,3,77836,84612,Biochem/Mol Bio,10,7
1,2,1,1,0,0,6.7,10,2,69994,78497,Biochem/Mol Bio,10,6
2,3,1,1,0,0,8.1,6,1,62872,67756,Biochem/Mol Bio,10,8
3,4,1,1,1,1,5.1,27,3,155196,173220,Biochem/Mol Bio,30,5
4,5,1,1,0,0,7.0,10,3,89268,96099,Biochem/Mol Bio,10,6
5,6,1,1,0,1,7.7,10,3,79714,87531,Biochem/Mol Bio,10,7
6,7,1,1,0,1,8.3,9,2,89781,99972,Biochem/Mol Bio,10,8
7,8,1,1,1,1,5.3,11,3,151423,166601,Biochem/Mol Bio,15,5
8,9,1,1,0,0,7.7,18,3,81271,85437,Biochem/Mol Bio,20,7
9,10,1,1,0,0,7.5,9,2,83018,91369,Biochem/Mol Bio,10,7
10,11,1,1,0,0,6.8,12,2,80214,88676,Biochem/Mol Bio,15,6
11,12,1,1,0,1,7.3,8,2,110302,116654,Biochem/Mol Bio,10,7
12,13,1,1,1,1,5.4,18,3,137106,149222,Biochem/Mol Bio,20,5
13,14,1,1,0,0,7.5,15,2,77545,85041,Biochem/Mol Bio,15,7
14,15,1,1,0,0,6.8,10,2,90223,97640,Biochem/Mol Bio,10,6
15,16,1,1,0,0,8.1,9,3,81197,91800,Biochem/Mol Bio,10,8
16,17,1,1,0,0,7.3,16,3,90178,101828,Biochem/Mol Bio,20,7
17,18,1,1,0,1,7.7,9,3,105564,117743,Biochem/Mol Bio,10,7
18,19,1,1,0,0,8.1,37,2,115804,126989,Biochem/Mol Bio,40,8
19,20,1,1,0,1,7.2,14,3,113149,124432,Biochem/Mol Bio,15,7
20,21,1,1,0,1,8.6,27,3,157510,168673,Biochem/Mol Bio,30,8
21,22,1,1,0,0,7.1,14,3,97104,104090,Biochem/Mol Bio,15,7
22,23,1,1,0,1,7.3,17,3,131815,145843,Biochem/Mol Bio,20,7
23,24,1,1,0,1,6.9,23,3,134135,151837,Biochem/Mol Bio,25,6
24,25,1,1,0,1,7.4,8,3,92198,98155,Biochem/Mol Bio,10,7
25,26,1,1,0,1,6.9,19,3,99304,110321,Biochem/Mol Bio,20,6
26,27,1,1,0,0,8.0,15,2,82132,90058,Biochem/Mol Bio,15,7
27,28,1,1,0,1,7.0,16,3,108770,119697,Biochem/Mol Bio,20,6
28,29,1,1,0,1,6.9,15,3,109775,120208,Biochem/Mol Bio,15,6
29,30,1,1,0,0,7.7,7,1,66375,71139,Biochem/Mol Bio,10,7
30,31,1,0,0,0,7.2,2,1,57838,62907,Biochem/Mol Bio,5,7
31,32,1,0,0,1,8.7,12,2,90631,99079,Biochem/Mol Bio,15,8
32,33,1,0,0,1,7.9,7,1,60930,66190,Biochem/Mol Bio,10,7
33,34,1,0,0,0,8.1,14,2,87231,95385,Biochem/Mol Bio,15,8
34,35,1,0,0,0,7.4,8,2,68582,76987,Biochem/Mol Bio,10,7
35,36,1,0,0,0,7.3,7,1,63280,68420,Biochem/Mol Bio,10,7
36,37,1,0,0,0,7.9,16,3,106412,116959,Biochem/Mol Bio,20,7
37,38,1,0,0,1,7.2,3,1,65337,70166,Biochem/Mol Bio,5,7
38,39,1,0,1,1,6.4,16,3,143334,153524,Biochem/Mol Bio,20,6
39,40,1,0,0,0,8.0,12,3,90771,102927,Biochem/Mol Bio,15,7
40,41,1,0,0,0,8.1,8,2,81769,88896,Biochem/Mol Bio,10,8
41,42,1,0,0,1,7.5,11,1,94103,102983,Biochem/Mol Bio,15,7
42,43,1,0,0,1,7.6,10,1,102631,111125,Biochem/Mol Bio,10,7
43,44,1,0,1,1,6.0,15,1,109164,120696,Biochem/Mol Bio,15,5
44,45,1,0,0,0,7.1,9,1,63779,73033,Biochem/Mol Bio,10,7
45,46,1,0,0,0,8.0,6,1,75362,81615,Biochem/Mol Bio,10,7
46,47,1,0,1,1,4.6,13,2,124836,137791,Biochem/Mol Bio,15,4
47,48,1,0,0,0,7.7,13,1,77012,84536,Biochem/Mol Bio,15,7
48,49,1,0,0,1,7.3,6,1,67277,72721,Biochem/Mol Bio,10,7
49,50,1,0,0,1,8.1,9,1,73448,80294,Biochem/Mol Bio,10,8
50,51,2,1,1,1,5.1,10,1,97707,101617,Physiology,10,5
51,52,2,1,1,1,5.1,9,3,106130,118258,Physiology,10,5
52,53,2,1,0,1,6.8,8,3,81049,88505,Physiology,10,6
53,54,2,1,1,1,5.5,25,3,140315,150710,Physiology,25,5
54,55,2,1,0,1,7.1,11,3,84571,92879,Physiology,15,7
55,56,2,1,0,1,6.6,9,2,58126,64522,Physiology,10,6
56,57,2,1,1,1,6.1,27,3,133284,151373,Physiology,30,6
57,58,2,1,0,1,7.5,32,2,142333,154372,Physiology,35,7
58,59,2,1,0,0,8.3,23,3,71073,78715,Physiology,25,8
59,60,2,1,0,0,7.5,14,2,76255,82466,Physiology,15,7
60,61,2,1,0,1,7.8,11,3,105348,118635,Physiology,15,7
61,62,2,1,0,0,7.5,9,3,86844,97061,Physiology,10,7
62,63,2,1,0,0,7.0,5,2,52582,58923,Physiology,5,6
63,64,2,1,0,1,7.5,12,3,110836,120397,Physiology,15,7
64,65,2,1,1,1,5.7,18,3,144150,151887,Physiology,20,5
65,66,2,1,1,1,6.0,19,3,122240,134882,Physiology,20,5
66,67,2,1,0,0,7.1,10,3,68573,75286,Physiology,10,7
67,68,2,1,0,0,7.9,8,2,63936,69526,Physiology,10,7
68,69,2,1,1,1,5.9,4,1,71404,78589,Physiology,5,5
69,70,2,1,0,1,7.6,14,3,102076,112009,Physiology,15,7
70,71,2,0,1,1,5.3,10,2,94715,106608,Physiology,10,5
71,72,2,0,0,1,8.1,4,1,58634,62601,Physiology,5,8
72,73,2,0,0,1,7.9,14,3,119851,131050,Physiology,15,7
73,74,2,0,1,0,5.5,9,3,78650,88661,Physiology,10,5
74,75,2,0,0,0,6.9,8,2,57862,63728,Physiology,10,6
75,76,2,0,1,0,4.9,3,1,67113,74272,Physiology,5,4
76,77,2,0,1,0,5.3,12,3,81078,86221,Physiology,15,5
77,78,2,0,0,1,8.5,7,1,60403,68828,Physiology,10,8
78,79,2,0,0,1,7.6,12,2,90964,97303,Physiology,15,7
79,80,2,0,0,1,8.4,4,1,52945,57841,Physiology,5,8
80,81,2,0,0,0,7.4,5,1,56550,62323,Physiology,5,7
81,82,2,0,0,0,7.2,2,1,34514,38675,Physiology,5,7
82,83,2,0,0,0,8.0,8,2,56177,61652,Physiology,10,7
83,84,2,0,1,0,5.0,2,1,50588,57431,Physiology,5,4
84,85,2,0,0,1,7.7,5,1,60415,66323,Physiology,5,7
85,86,2,0,1,0,6.1,11,3,91409,102511,Physiology,15,6
86,87,2,0,0,1,7.8,3,1,56250,59530,Physiology,5,7
87,88,2,0,1,1,5.7,16,2,127725,143348,Physiology,20,5
88,89,2,0,1,0,5.4,5,1,63426,71068,Physiology,5,5
89,90,2,0,0,0,8.0,5,1,45826,48138,Physiology,5,7
90,91,3,1,0,1,6.7,24,3,154326,165884,Genetics,25,6
91,92,3,1,0,0,5.9,11,2,87351,95429,Genetics,15,5
92,93,3,1,1,1,4.1,5,1,123859,130292,Genetics,5,4
93,94,3,1,1,0,4.8,16,3,118121,130697,Genetics,20,4
94,95,3,1,1,1,4.3,11,3,174479,193342,Genetics,15,4
95,96,3,1,1,1,4.3,16,3,196704,218955,Genetics,20,4
96,97,3,1,1,1,4.3,16,3,186953,206984,Genetics,20,4
97,98,3,1,1,0,4.2,9,2,107862,117240,Genetics,10,4
98,99,3,1,1,0,3.9,5,1,105821,116932,Genetics,5,3
99,100,3,1,1,1,5.6,6,1,114730,126118,Genetics,10,5
100,101,3,0,1,0,3.9,9,3,142382,151698,Genetics,10,3
101,102,3,0,0,0,7.3,9,1,67581,72896,Genetics,10,7
102,103,3,0,0,0,6.8,6,1,67934,75659,Genetics,10,6
103,104,3,0,1,0,5.0,10,3,118101,129862,Genetics,10,4
104,105,3,0,1,1,5.2,9,2,127710,143799,Genetics,10,5
105,106,3,0,0,0,6.5,5,1,70794,77113,Genetics,5,6
106,107,3,0,1,0,5.7,4,1,81728,91764,Genetics,5,5
107,108,3,0,0,0,7.0,7,1,71015,80747,Genetics,10,6
108,109,3,0,0,1,7.3,11,2,117276,126139,Genetics,15,7
109,110,3,0,0,0,7.2,10,2,106535,117574,Genetics,10,7
110,111,3,0,0,0,8.4,5,1,68825,74209,Genetics,5,8
111,112,4,1,1,1,3.1,6,1,109599,121829,Pediatrics,10,3
112,113,4,1,0,1,5.2,17,3,154159,169191,Pediatrics,20,5
113,114,4,1,1,1,3.3,10,2,145503,162253,Pediatrics,10,3
114,115,4,1,1,1,3.2,15,2,161383,181196,Pediatrics,15,3
115,116,4,1,0,1,4.8,10,3,113443,126189,Pediatrics,10,4
116,117,4,1,1,1,2.1,5,1,118561,131704,Pediatrics,5,2
117,118,4,1,1,1,2.9,8,2,147709,161814,Pediatrics,10,2
118,119,4,1,1,1,3.1,7,2,121969,136415,Pediatrics,10,3
119,120,4,1,0,0,5.2,11,2,101890,113893,Pediatrics,15,5
120,121,4,1,1,1,4.0,7,1,114233,127955,Pediatrics,10,3
121,122,4,0,1,1,4.2,4,1,77087,84890,Pediatrics,5,4
122,123,4,0,0,1,5.5,6,1,113382,124153,Pediatrics,10,5
123,124,4,0,1,1,2.7,4,1,102177,112844,Pediatrics,5,2
124,125,4,0,1,1,3.1,2,2,116506,127815,Pediatrics,5,3
125,126,4,0,1,1,3.1,5,1,130386,145073,Pediatrics,5,3
126,127,4,0,1,1,3.6,16,3,159687,177706,Pediatrics,20,3
127,128,4,0,1,1,3.4,2,1,107750,117214,Pediatrics,5,3
128,129,4,0,0,1,5.3,4,1,91211,103513,Pediatrics,5,5
129,130,4,0,1,1,3.0,6,2,135216,150489,Pediatrics,10,2
130,131,4,0,1,1,3.2,10,2,164048,182049,Pediatrics,10,3
131,132,4,0,1,1,3.8,5,1,84390,92512,Pediatrics,5,3
132,133,4,0,1,1,3.1,14,3,170428,186726,Pediatrics,15,3
133,134,4,0,1,1,2.6,5,1,124994,140026,Pediatrics,5,2
134,135,4,0,0,1,5.7,13,1,90130,95908,Pediatrics,15,5
135,136,4,0,0,1,6.3,5,1,102021,109758,Pediatrics,5,6
136,137,4,0,1,0,4.0,4,2,88484,99505,Pediatrics,5,3
137,138,4,0,1,1,3.0,7,1,110975,123139,Pediatrics,10,2
138,139,4,0,0,1,5.5,3,1,81422,89202,Pediatrics,5,5
139,140,4,0,1,1,3.1,10,1,130939,142566,Pediatrics,10,3
140,141,4,0,1,1,3.7,1,1,111630,125268,Pediatrics,5,3
141,142,5,1,1,1,3.7,11,1,182945,198762,Medicine,15,3
142,143,5,1,1,0,3.2,13,2,163671,181774,Medicine,15,3
143,144,5,1,1,1,4.3,9,2,204433,226581,Medicine,10,4
144,145,5,1,1,1,3.2,4,1,135139,148117,Medicine,5,3
145,146,5,1,0,1,5.6,11,3,147213,155826,Medicine,15,5
146,147,5,1,1,1,4.0,13,2,207737,229706,Medicine,15,3
147,148,5,1,1,1,3.1,18,3,244025,268210,Medicine,20,3
148,149,5,1,0,1,5.2,12,3,167199,182401,Medicine,15,5
149,150,5,1,1,1,4.0,14,3,209377,225498,Medicine,15,3
150,151,5,1,1,1,3.7,10,2,209189,230270,Medicine,10,3
151,152,5,1,1,1,3.2,11,2,186973,204769,Medicine,15,3
152,153,5,1,1,1,3.1,10,3,209171,229301,Medicine,10,3
153,154,5,1,1,1,4.5,15,3,230268,253090,Medicine,15,4
154,155,5,1,1,1,4.4,8,2,186022,207634,Medicine,10,4
155,156,5,1,1,1,4.2,7,1,179897,196338,Medicine,10,4
156,157,5,1,1,1,3.6,12,2,236470,265121,Medicine,15,3
157,158,5,1,0,0,5.7,15,3,172793,184391,Medicine,15,5
158,159,5,1,1,1,3.7,13,3,285301,297397,Medicine,15,3
159,160,5,1,1,1,3.6,8,3,200543,219584,Medicine,10,3
160,161,5,1,1,1,4.8,6,1,152485,168170,Medicine,10,4
161,162,5,1,1,1,4.0,5,1,154644,170967,Medicine,5,3
162,163,5,1,1,1,3.1,22,3,255654,285939,Medicine,25,3
163,164,5,1,1,1,3.5,2,1,138896,152284,Medicine,5,3
164,165,5,1,1,1,3.1,18,3,260631,284841,Medicine,20,3
165,166,5,1,1,1,3.0,4,1,183972,201691,Medicine,5,2
166,167,5,1,1,1,3.0,5,1,128027,142963,Medicine,5,2
167,168,5,1,1,1,4.0,6,1,161815,173837,Medicine,10,3
168,169,5,1,0,1,5.9,6,1,149011,163795,Medicine,10,5
169,170,5,1,1,1,3.3,8,2,167305,183834,Medicine,10,3
170,171,5,1,1,1,2.7,5,1,153549,168707,Medicine,5,2
171,172,5,1,1,1,3.4,37,3,300975,332119,Medicine,40,3
172,173,5,1,1,0,2.4,3,1,124442,131361,Medicine,5,2
173,174,5,1,1,1,3.8,14,2,163486,175271,Medicine,15,3
174,175,5,1,1,1,3.2,7,1,155006,169118,Medicine,10,3
175,176,5,1,0,0,5.1,8,3,129499,141661,Medicine,10,5
176,177,5,1,1,1,3.5,14,2,216391,234992,Medicine,15,3
177,178,5,1,1,0,2.9,8,2,171016,189308,Medicine,10,2
178,179,5,1,1,1,3.5,25,3,246763,279255,Medicine,25,3
179,180,5,1,1,1,3.4,5,1,175396,189904,Medicine,5,3
180,181,5,1,0,1,5.1,8,2,144542,158513,Medicine,10,5
181,182,5,1,0,1,4.7,21,3,275377,294336,Medicine,25,4
182,183,5,1,1,1,4.0,18,3,262090,289778,Medicine,20,3
183,184,5,1,0,0,5.1,2,1,250000,276163,Medicine,5,5
184,185,5,1,0,1,4.6,10,2,158243,177587,Medicine,10,4
185,186,5,1,1,0,3.6,26,3,218341,245432,Medicine,30,3
186,187,5,1,1,0,3.3,5,1,141044,157509,Medicine,5,3
187,188,5,1,1,0,3.9,10,2,164174,183538,Medicine,10,3
188,189,5,1,1,1,3.3,16,3,203152,216873,Medicine,20,3
189,190,5,1,1,1,3.6,8,1,194784,217478,Medicine,10,3
190,191,5,1,1,1,3.0,15,3,223040,239253,Medicine,15,2
191,192,5,0,1,0,4.2,3,1,138635,149539,Medicine,5,4
192,193,5,0,1,1,4.1,5,1,176028,192799,Medicine,5,4
193,194,5,0,1,1,3.9,2,1,126343,136988,Medicine,5,3
194,195,5,0,1,1,3.6,14,3,249687,267554,Medicine,15,3
195,196,5,0,1,1,3.8,5,1,127525,139017,Medicine,5,3
196,197,5,0,1,1,3.1,13,3,281058,313400,Medicine,15,3
197,198,5,0,1,1,3.6,4,1,149631,165420,Medicine,5,3
198,199,5,0,1,1,3.8,4,1,142249,154386,Medicine,5,3
199,200,5,0,1,1,4.7,7,1,166863,189852,Medicine,10,4
200,201,5,0,1,1,2.9,7,1,164080,180937,Medicine,10,2
201,202,5,0,1,0,2.9,1,1,112221,126149,Medicine,5,2
202,203,5,0,1,0,3.8,5,1,161352,177997,Medicine,5,3
203,204,5,0,1,1,2.8,7,1,209818,233774,Medicine,10,2
204,205,5,0,0,1,5.1,6,1,133097,147327,Medicine,10,5
205,206,5,0,1,1,3.7,5,1,171391,185895,Medicine,5,3
206,207,5,0,1,1,3.7,6,1,166482,180608,Medicine,10,3
207,208,5,0,1,1,4.0,12,1,242614,265856,Medicine,15,3
208,209,5,0,1,1,3.8,6,1,146396,161031,Medicine,10,3
209,210,5,0,1,1,3.8,6,1,130153,139887,Medicine,10,3
210,211,5,0,1,1,3.7,8,2,175791,195678,Medicine,10,3
211,212,5,0,1,0,3.4,3,1,138775,152231,Medicine,5,3
212,213,5,0,1,1,4.3,6,1,167844,189487,Medicine,10,4
213,214,5,0,1,1,3.9,10,2,202231,225599,Medicine,10,3
214,215,5,0,1,0,3.9,2,1,106802,114961,Medicine,5,3
215,216,5,0,0,1,5.8,23,3,204279,227790,Medicine,25,5
216,217,5,0,1,1,4.5,8,3,185413,207462,Medicine,10,4
217,218,5,0,0,1,4.6,9,2,150258,160253,Medicine,10,4
218,219,5,0,1,1,4.0,5,1,128433,145718,Medicine,5,3
219,220,5,0,0,1,5.4,14,1,123940,138566,Medicine,15,5
220,221,5,0,0,1,5.4,3,1,107524,116283,Medicine,5,5
221,222,6,1,1,1,2.7,6,1,214219,236305,Surgery,10,2
222,223,6,1,1,1,2.1,5,1,312966,336960,Surgery,5,2
223,224,6,1,1,1,1.9,21,2,342834,367284,Surgery,25,1
224,225,6,1,1,1,2.1,16,3,312892,344801,Surgery,20,2
225,226,6,1,1,1,2.5,13,3,317399,345204,Surgery,15,2
226,227,6,1,1,1,2.4,21,3,342662,369712,Surgery,25,2
